"module name","license","repository"
"@babel/runtime@7.29.7","MIT","https://github.com/babel/babel"
"@monaco-editor/loader@1.7.0","MIT","https://github.com/suren-atoyan/monaco-loader"
"@monaco-editor/react@4.7.0","MIT","https://github.com/suren-atoyan/monaco-react"
"@napi-rs/canvas-linux-x64-gnu@0.1.100","MIT","https://github.com/Brooooooklyn/canvas"
"@napi-rs/canvas-linux-x64-musl@0.1.100","MIT","https://github.com/Brooooooklyn/canvas"
"@napi-rs/canvas@0.1.100","MIT","https://github.com/Brooooooklyn/canvas"
"@types/debug@4.1.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree-jsx@1.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@1.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/hast@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mdast@4.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ms@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@19.2.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/trusted-types@2.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/unist@2.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/unist@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@ungap/structured-clone@1.3.1","ISC","https://github.com/ungap/structured-clone"
"bail@2.0.2","MIT","https://github.com/wooorm/bail"
"ccount@2.0.1","MIT","https://github.com/wooorm/ccount"
"character-entities-html4@2.1.0","MIT","https://github.com/wooorm/character-entities-html4"
"character-entities-legacy@3.0.0","MIT","https://github.com/wooorm/character-entities-legacy"
"character-entities@2.0.2","MIT","https://github.com/wooorm/character-entities"
"character-reference-invalid@2.0.1","MIT","https://github.com/wooorm/character-reference-invalid"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"comma-separated-tokens@2.0.3","MIT","https://github.com/wooorm/comma-separated-tokens"
"cookie@1.1.1","MIT","https://github.com/jshttp/cookie"
"csstype@3.2.3","MIT","https://github.com/frenic/csstype"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"decode-named-character-reference@1.3.0","MIT","https://github.com/wooorm/decode-named-character-reference"
"dequal@2.0.3","MIT","https://github.com/lukeed/dequal"
"devlop@1.1.0","MIT","https://github.com/wooorm/devlop"
"dompurify@3.2.7","(MPL-2.0 OR Apache-2.0)","https://github.com/cure53/DOMPurify"
"escape-string-regexp@5.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"estree-util-is-identifier-name@3.0.0","MIT","https://github.com/syntax-tree/estree-util-is-identifier-name"
"extend@3.0.2","MIT","https://github.com/justmoon/node-extend"
"frontend@0.6.0","UNLICENSED",""
"hast-util-to-jsx-runtime@2.3.6","MIT","https://github.com/syntax-tree/hast-util-to-jsx-runtime"
"hast-util-whitespace@3.0.0","MIT","https://github.com/syntax-tree/hast-util-whitespace"
"html-url-attributes@3.0.1","MIT","https://github.com/rehypejs/rehype-minify/tree/main/packages/html-url-attributes"
"inline-style-parser@0.2.7","MIT","https://github.com/remarkablemark/inline-style-parser"
"is-alphabetical@2.0.1","MIT","https://github.com/wooorm/is-alphabetical"
"is-alphanumerical@2.0.1","MIT","https://github.com/wooorm/is-alphanumerical"
"is-decimal@2.0.1","MIT","https://github.com/wooorm/is-decimal"
"is-hexadecimal@2.0.1","MIT","https://github.com/wooorm/is-hexadecimal"
"is-plain-obj@4.1.0","MIT","https://github.com/sindresorhus/is-plain-obj"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"longest-streak@3.1.0","MIT","https://github.com/wooorm/longest-streak"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"make-cancellable-promise@2.0.0","MIT","https://github.com/wojtekmaj/make-cancellable-promise"
"make-event-props@2.0.0","MIT","https://github.com/wojtekmaj/make-event-props"
"markdown-table@3.0.4","MIT","https://github.com/wooorm/markdown-table"
"marked@14.0.0","MIT","https://github.com/markedjs/marked"
"mdast-util-find-and-replace@3.0.2","MIT","https://github.com/syntax-tree/mdast-util-find-and-replace"
"mdast-util-from-markdown@2.0.3","MIT","https://github.com/syntax-tree/mdast-util-from-markdown"
"mdast-util-gfm-autolink-literal@2.0.1","MIT","https://github.com/syntax-tree/mdast-util-gfm-autolink-literal"
"mdast-util-gfm-footnote@2.1.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-footnote"
"mdast-util-gfm-strikethrough@2.0.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-strikethrough"
"mdast-util-gfm-table@2.0.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-table"
"mdast-util-gfm-task-list-item@2.0.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-task-list-item"
"mdast-util-gfm@3.1.0","MIT","https://github.com/syntax-tree/mdast-util-gfm"
"mdast-util-mdx-expression@2.0.1","MIT","https://github.com/syntax-tree/mdast-util-mdx-expression"
"mdast-util-mdx-jsx@3.2.0","MIT","https://github.com/syntax-tree/mdast-util-mdx-jsx"
"mdast-util-mdxjs-esm@2.0.1","MIT","https://github.com/syntax-tree/mdast-util-mdxjs-esm"
"mdast-util-phrasing@4.1.0","MIT","https://github.com/syntax-tree/mdast-util-phrasing"
"mdast-util-to-hast@13.2.1","MIT","https://github.com/syntax-tree/mdast-util-to-hast"
"mdast-util-to-markdown@2.1.2","MIT","https://github.com/syntax-tree/mdast-util-to-markdown"
"mdast-util-to-string@4.0.0","MIT","https://github.com/syntax-tree/mdast-util-to-string"
"memoize-one@5.2.1","MIT","https://github.com/alexreardon/memoize-one"
"merge-refs@2.0.0","MIT","https://github.com/wojtekmaj/merge-refs"
"micromark-core-commonmark@2.0.3","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-core-commonmark"
"micromark-extension-gfm-autolink-literal@2.1.0","MIT","https://github.com/micromark/micromark-extension-gfm-autolink-literal"
"micromark-extension-gfm-footnote@2.1.0","MIT","https://github.com/micromark/micromark-extension-gfm-footnote"
"micromark-extension-gfm-strikethrough@2.1.0","MIT","https://github.com/micromark/micromark-extension-gfm-strikethrough"
"micromark-extension-gfm-table@2.1.1","MIT","https://github.com/micromark/micromark-extension-gfm-table"
"micromark-extension-gfm-tagfilter@2.0.0","MIT","https://github.com/micromark/micromark-extension-gfm-tagfilter"
"micromark-extension-gfm-task-list-item@2.1.0","MIT","https://github.com/micromark/micromark-extension-gfm-task-list-item"
"micromark-extension-gfm@3.0.0","MIT","https://github.com/micromark/micromark-extension-gfm"
"micromark-factory-destination@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-destination"
"micromark-factory-label@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-label"
"micromark-factory-space@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-space"
"micromark-factory-title@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-title"
"micromark-factory-whitespace@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-whitespace"
"micromark-util-character@2.1.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-character"
"micromark-util-chunked@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-chunked"
"micromark-util-classify-character@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-classify-character"
"micromark-util-combine-extensions@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-combine-extensions"
"micromark-util-decode-numeric-character-reference@2.0.2","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-decode-numeric-character-reference"
"micromark-util-decode-string@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-decode-string"
"micromark-util-encode@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-encode"
"micromark-util-html-tag-name@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-html-tag-name"
"micromark-util-normalize-identifier@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-normalize-identifier"
"micromark-util-resolve-all@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-resolve-all"
"micromark-util-sanitize-uri@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-sanitize-uri"
"micromark-util-subtokenize@2.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-subtokenize"
"micromark-util-symbol@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-symbol"
"micromark-util-types@2.0.2","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-types"
"micromark@4.0.2","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark"
"monaco-editor@0.55.1","MIT","https://github.com/microsoft/monaco-editor"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"pako@1.0.11","(MIT AND Zlib)","https://github.com/nodeca/pako"
"pako@2.1.0","(MIT AND Zlib)","https://github.com/nodeca/pako"
"parse-entities@4.0.2","MIT","https://github.com/wooorm/parse-entities"
"pdfjs-dist@5.4.296","Apache-2.0","https://github.com/mozilla/pdf.js"
"property-information@7.2.0","MIT","https://github.com/wooorm/property-information"
"react-dom@19.2.7","MIT","https://github.com/facebook/react"
"react-markdown@10.1.0","MIT","https://github.com/remarkjs/react-markdown"
"react-pdf@10.4.1","MIT","https://github.com/wojtekmaj/react-pdf"
"react-router-dom@7.17.0","MIT","https://github.com/remix-run/react-router"
"react-router@7.17.0","MIT","https://github.com/remix-run/react-router"
"react-window@1.8.11","MIT","https://github.com/bvaughn/react-window"
"react@19.2.7","MIT","https://github.com/facebook/react"
"remark-gfm@4.0.1","MIT","https://github.com/remarkjs/remark-gfm"
"remark-parse@11.0.0","MIT","https://github.com/remarkjs/remark/tree/main/packages/remark-parse"
"remark-rehype@11.1.2","MIT","https://github.com/remarkjs/remark-rehype"
"remark-stringify@11.0.0","MIT","https://github.com/remarkjs/remark/tree/main/packages/remark-stringify"
"scheduler@0.27.0","MIT","https://github.com/facebook/react"
"set-cookie-parser@2.7.2","MIT","https://github.com/nfriedly/set-cookie-parser"
"space-separated-tokens@2.0.2","MIT","https://github.com/wooorm/space-separated-tokens"
"state-local@1.0.7","MIT","https://github.com/suren-atoyan/state-local"
"stringify-entities@4.0.4","MIT","https://github.com/wooorm/stringify-entities"
"style-to-js@1.1.21","MIT","https://github.com/remarkablemark/style-to-js"
"style-to-object@1.0.14","MIT","https://github.com/remarkablemark/style-to-object"
"tiny-invariant@1.3.3","MIT","https://github.com/alexreardon/tiny-invariant"
"trim-lines@3.0.1","MIT","https://github.com/wooorm/trim-lines"
"trough@2.2.0","MIT","https://github.com/wooorm/trough"
"unified@11.0.5","MIT","https://github.com/unifiedjs/unified"
"unist-util-is@6.0.1","MIT","https://github.com/syntax-tree/unist-util-is"
"unist-util-position@5.0.0","MIT","https://github.com/syntax-tree/unist-util-position"
"unist-util-stringify-position@4.0.0","MIT","https://github.com/syntax-tree/unist-util-stringify-position"
"unist-util-visit-parents@6.0.2","MIT","https://github.com/syntax-tree/unist-util-visit-parents"
"unist-util-visit@5.1.0","MIT","https://github.com/syntax-tree/unist-util-visit"
"utif@3.1.0","MIT","https://github.com/photopea/UTIF.js"
"vfile-message@4.0.3","MIT","https://github.com/vfile/vfile-message"
"vfile@6.0.3","MIT","https://github.com/vfile/vfile"
"warning@4.0.3","MIT","https://github.com/BerkeleyTrue/warning"
"zwitch@2.0.4","MIT","https://github.com/wooorm/zwitch"
